stock_id,stock_name,event_type,event_subtype,event_title,source_name,source_url,announcement_datetime,event_effective_start_date,event_effective_end_date,signal_usable_date,known_before_signal_close,post_close_pre_next_open,raw_payload_hash
2059,川湖,material_info,第51款,澄清經濟日報C01版報導,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 11:01:48,,,2026-07-01,true,false,sha256:2be3fd7f36cb2ee08530da412556fb456a3cd52b4a11d4291eef802157b03f60
8039,台虹,material_info,第8款,代重要子公司深圳台虹電子有限公司公告財務主管 、會計主管異動,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 13:35:48,,,2026-07-02,false,true,sha256:7fd9291f40f29195a4e32e47490fb3dfb4151da4f3388f79edc169daa1d1e1e3
6669,緯穎,material_info,第43款,本公司捐贈「財團法人緯穎永續基金會」,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 13:41:34,,,2026-07-02,false,true,sha256:4b7046a53ebfdba3652ab3ac25dc1ef81709cb80ec45e6c6dbb98e6cfa8bea82
8021,尖點,material_info,第51款,公告本公司國內第二次無擔保轉換公司債轉換價格調整,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 14:12:54,,,2026-07-02,false,true,sha256:090bdc3b81787e6470aec60b70abcc0770864e7fa3487ca77477d42f13ea768b
3008,大立光,investor_meeting,第12款,本公司召開法人說明會事宜,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 14:36:01,,,2026-07-02,false,true,sha256:0b76432b2f8ac0034a85fc6cf57c418d4b23bbbb3507ce0e3e28bf1d5b3d4b82
8358,金居,material_info,第14款,公告本公司115年配息基準日,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 14:38:34,,,2026-07-02,false,true,sha256:50b661ed20b9ab9ecf2ca9614b8a88059e8c665eee1d17ad929cfefc69c920cd
2383,台光電,material_info,第20款,代子公司中山台光電子材料有限公司公告取得供營業用之機器設備,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 14:43:06,,,2026-07-02,false,true,sha256:643934177b10a125a6c384e6a0b656938391ccebcdb99fcfc1d815ed7cfde4f0
1560,中砂,material_info,第14款,公告本公司調整配息率,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 14:54:28,,,2026-07-02,false,true,sha256:9ab07cf7c6977a38644a152dd5d502ee9a5278a9d0b91d6845cdb94c07c31cbf
2340,台亞,material_info,第51款,說明媒體報導有關本公司與德勝光電訴訟案之相關報導,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 14:54:57,,,2026-07-02,false,true,sha256:48b80a6191b87a4b06b0743ab36be96c4ce0e0941e6cfb1622c8ab28f0f45bbb
2466,冠西電,material_info,第6款,公告本公司法人董事改派代表人暨董事變動達三分之一,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 15:07:15,,,2026-07-02,false,true,sha256:d54ec0ab3729ca26c2f215b86c084680bd8da2f607cd25d87f4892bd103025c7
2412,中華電,investor_meeting,第12款,本公司將召開線上法說會說明115年第2季營運成果,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 15:18:42,,,2026-07-02,false,true,sha256:c03768529dce2968969f3f81453684423ee52f3c3215182d355bcdfe995aabbe
2409,友達,investor_meeting,第12款,公告本公司將於7月30日召開法人說明會,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 15:31:08,,,2026-07-02,false,true,sha256:321983a2d15c047a2a1f9b6c8ffbdaea45eb9e4c06f52c16a947a4bdeecb6ce5
5340,建榮,material_info,第6款,本公司法人董事之代表人變動公告,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 15:33:25,,,2026-07-02,false,true,sha256:4c6130524a4eabb8d882b6244f16ece98730e3c30eb482fcf9ccfbdd8bdafc0e
4919,新唐,material_info,第8款,公告本公司副執行長事宜,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 15:41:03,,,2026-07-02,false,true,sha256:92a7f0168aef5db57caeb8d0e2f70eca1f278769171bc4adf41628b78b130b14
3665,貿聯-KY,material_info,第51款,公告本公司第六次海外無擔保轉換公司債轉換價格調整,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 16:02:42,,,2026-07-02,false,true,sha256:62ec41fc636a5ae04562dd56422509864525fe64f7d244afe098f55f4fa5163e
8996,高力,material_info,第51款,公告高力股份有限公司國內第四次無擔轉換公司債轉換公司債(簡稱：高力四，代碼：89964)發行公司行使債券贖回權暨訂於115年08月28日終止櫃檯買賣等相關事宜。,TWSE material information,https://openapi.twse.com.tw/v1/opendata/t187ap04_L,2026-07-01 16:46:58,,,2026-07-02,false,true,sha256:ba6e37222a84b7be87efdfceeaf293c155ede77bc2632504e49abffc2a49055d
6125,廣運,material_info,第8款,代重要子公司金運科技股份有限公司 公告研發主管任命,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 16:53:44,,,2026-07-02,false,true,sha256:00673ec660b73837ea77202b0e2f8f0780c83d1418912ef20a0a2247a314b1b2
6125,廣運,material_info,第8款,公告本公司研發主管異動,TPEx material information,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap04_O,2026-07-01 17:21:00,,,2026-07-02,false,true,sha256:9dbc2fa481fb7cfacce11688c5b10fce5adb343f5e968587ca68f665ac982cf8
